rho1	rho2	rho3	rho4	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	culture_group
0.1	0.1	0.1	0.7	1.04	0.805	0.89	0.6441666666666667	0.67	0.5716666666666667	0.16083333333333336	0.5676967420234599	0.5233811835625175	0.5455649336403328	0.0	0.0	1.0	1.0	0
0.1	0.1	0.1	0.7	0.82	0.7291666666666665	0.65	0.5983333333333333	0.61	0.5266666666666667	0.13083333333333333	0.4970952387122709	0.47109317715936394	0.48488129204132036	0.6666666666666666	0.6881651539003607	3.0	2.0	0
0.1	0.1	0.1	0.7	0.81	0.8166666666666665	0.67	0.6283333333333333	0.64	0.5583333333333332	0.18833333333333332	0.5348427523129038	0.5241377558240736	0.5295827996848685	0.0	0.0	2.0	0.0	0
0.1	0.1	0.1	0.7	0.86	0.6833333333333332	0.77	0.62	0.62	0.5816666666666667	0.06333333333333334	0.5502648776781665	0.533974874401817	0.542254287274475	0.0	0.0	1.0	1.0	0
0.1	0.1	0.1	0.7	1.08	0.7145	0.93	0.622	0.63	0.5775	0.0925	0.5555983183392645	0.5238114556875639	0.5409797854392545	0.0	0.0	1.0	1.0	0
0.1	0.1	0.1	0.7	0.74	0.65	0.72	0.6	0.6	0.59	0.05	0.5192709881158644	0.5049698051579201	0.5122031541943923	0.0	0.0	0.0	0.0	0
0.1	0.1	0.1	0.7	1.41	0.7464523809523809	1.14	0.6759999999999999	0.73	0.5938809523809524	0.07045238095238096	0.5916385888520602	0.5519094756207289	0.5734485402961176	0.0	0.0	2.0	0.0	0
0.1	0.1	0.1	0.7	0.77	0.7658333333333333	0.67	0.6458333333333333	0.69	0.5725	0.12	0.4965032603273544	0.4831172498299312	0.4898025372768302	0.0	0.0	2.0	4.0	0
0.1	0.1	0.1	0.7	0.79	0.6716666666666667	0.68	0.6083333333333334	0.62	0.5566666666666668	0.06333333333333332	0.5351537362567074	0.524051654898994	0.5296939949650976	0.0	0.0	0.0	0.0	0
0.1	0.1	0.1	0.7	0.91	0.7158333333333333	0.79	0.6125	0.62	0.5666666666666665	0.10333333333333332	0.5452698417853191	0.5308612326572419	0.538077341925163	1.0	0.0	2.0	1.0	0
0.1	0.1	0.2	0.6	1.33	1.0405	0.95	0.7441666666666668	0.77	0.5865	0.29633333333333334	0.654234338389487	0.5971266924336704	0.6268035765164869	0.5	0.5	2.0	2.0	10
0.1	0.1	0.2	0.6	1.09	1.0050000000000001	0.81	0.69	0.69	0.5758333333333333	0.31500000000000006	0.6371358737454274	0.6132450324694281	0.6255166357262845	0.0	0.0	0.0	2.0	10
0.1	0.1	0.2	0.6	1.64	1.2003333333333333	1.14	0.7848333333333334	0.91	0.59	0.41550000000000004	0.6854843953851778	0.6232894809479455	0.6525688169893015	0.5	0.0	4.0	1.0	10
0.1	0.1	0.2	0.6	1.83	1.2435714285714285	1.05	0.892	0.98	0.6105238095238095	0.35157142857142853	0.7445492484476449	0.6636047187842263	0.704282443820802	0.5	0.3333333333333333	4.0	6.0	10
0.1	0.1	0.2	0.6	1.39	1.0911666666666666	0.97	0.7406666666666666	0.78	0.5763333333333334	0.35050000000000003	0.694876563495194	0.6558093603657429	0.675767345861837	0.0	0.0	0.0	0.0	10
0.1	0.1	0.2	0.6	0.92	0.7758333333333333	0.73	0.63	0.63	0.5573333333333333	0.14583333333333334	0.5495916392301379	0.527530810840423	0.5389286735517698	0.5	0.0	2.0	0.0	10
0.1	0.1	0.2	0.6	1.68	1.0619999999999998	1.21	0.8664999999999999	0.96	0.6675	0.1955	0.6945577587681053	0.6436735382040972	0.6672305758599211	0.0	0.0	0.0	2.0	10
0.1	0.1	0.2	0.6	1.45	0.8918928571428572	1.06	0.7451785714285714	0.8	0.6181071428571429	0.1467142857142857	0.63195664640919	0.5939551775255615	0.6131229726075061	0.0	0.5	1.0	2.0	10
0.1	0.1	0.2	0.6	1.1	0.8674999999999998	0.83	0.6891666666666667	0.71	0.575	0.17833333333333332	0.6096736841576496	0.5749464560340323	0.5922666083368658	0.0	0.0	1.0	1.0	10
0.1	0.1	0.2	0.6	0.85	0.7216666666666667	0.7	0.62	0.62	0.5533333333333333	0.10166666666666666	0.567263549908429	0.5468931493808631	0.5565198196450052	0.0	0.5	0.0	2.0	10
0.1	0.1	0.3	0.5	5.04	1.6817775835275839	2.25	1.0074693084693087	1.5	0.5024084526584526	0.6743082750582751	0.8781595223820153	0.6885722519154622	0.7690972628611563	0.0	0.3333333333333333	1.0	3.0	20
0.1	0.1	0.3	0.5	3.47	2.2357276334776333	1.84	0.9158333333333334	0.93	0.5515252525252524	1.3198943001442998	0.8068082923230057	0.6536388499313402	0.735885264778775	0.5	0.5	2.0	2.0	20
0.1	0.1	0.3	0.5	2.1	1.7053333333333334	1.39	0.8878333333333334	1.09	0.5846666666666668	0.8174999999999999	0.7830183926265457	0.694599630536097	0.7386581358848865	0.8	0.8	5.0	5.0	20
0.1	0.1	0.3	0.5	2.24	1.5806587301587303	1.2	0.8858333333333333	0.98	0.5546230158730158	0.6948253968253968	0.7833283801075009	0.6646172152529118	0.7258894270961452	0.5	0.5	2.0	2.0	20
